[295.1, 295.35]
[297.2, 297.40000000000003]
[299.75, 300.3]
[300.90000000000003, 301.15000000000003]
[301.5, 301.85]
[304.65000000000003, 305.1]
[305.75, 306.40000000000003]
[306.7, 306.90000000000003]
[307.75, 308.0]
[308.45000000000005, 308.95000000000005]
[309.15000000000003, 309.40000000000003]
[310.6, 311.1]
[312.65000000000003, 313.5]
[314.75, 315.1]
[315.8, 316.3]
[316.70000000000005, 317.25]
[318.15000000000003, 318.8]
[319.0, 319.35]
[320.70000000000005, 321.05]
[321.3, 321.6]
[321.8, 322.6]
[323.55, 323.95000000000005]
[328.20000000000005, 329.3]
[329.45000000000005, 330.3]
[340.70000000000005, 341.85]
[342.1, 342.55]
[343.25, 343.45000000000005]
[343.90000000000003, 344.20000000000005]
[344.45000000000005, 344.8]
[344.95000000000005, 345.35]
[347.5, 347.75]
[348.05, 348.45000000000005]
[349.35, 349.75]
[350.0, 350.3]
[350.75, 351.05]
[352.1, 352.45000000000005]
[353.5, 354.1]
[357.65000000000003, 358.25]
[358.45000000000005, 358.8]
[359.75, 360.20000000000005]
[361.85, 362.1]
[362.35, 362.95000000000005]
[363.25, 363.90000000000003]
[367.05, 367.70000000000005]
[367.90000000000003, 368.65000000000003]
[373.65000000000003, 374.25]
[374.55, 374.8]
[375.25, 375.70000000000005]
[376.65000000000003, 377.3]
[378.1, 378.70000000000005]
[382.25, 382.45000000000005]
[386.0, 386.40000000000003]
[388.3, 388.6]
[389.5, 389.70000000000005]
[391.35, 391.95000000000005]
[393.20000000000005, 393.70000000000005]
[394.85, 395.65000000000003]
[395.90000000000003, 396.20000000000005]
[397.1, 397.45000000000005]
[397.65000000000003, 398.0]
[399.25, 399.5]
[404.40000000000003, 404.65000000000003]
[404.8, 405.1]
[405.95000000000005, 406.65000000000003]
[407.3, 407.55]
[407.70000000000005, 408.0]
[409.95000000000005, 410.95000000000005]
[412.05, 412.35]
[412.90000000000003, 413.20000000000005]
[414.5, 414.75]
[417.8, 418.05]
[419.75, 420.1]
[421.1, 421.55]
[423.05, 423.40000000000003]
[425.25, 425.5]
[425.70000000000005, 426.15000000000003]
[426.5, 426.70000000000005]
[427.5, 427.90000000000003]
[428.3, 428.75]
[429.55, 429.85]
[430.40000000000003, 430.65000000000003]
[431.05, 431.5]
[432.5, 432.70000000000005]
[435.65000000000003, 435.90000000000003]
[437.85, 438.3]
[439.55, 440.15000000000003]
[440.90000000000003, 441.20000000000005]
[442.55, 442.90000000000003]
[443.05, 443.45000000000005]
[443.95000000000005, 444.20000000000005]
[444.75, 445.0]
[445.65000000000003, 446.0]
[446.5, 447.1]
[447.35, 447.8]
[449.20000000000005, 449.5]
[450.05, 450.3]
[450.75, 450.95000000000005]
[452.40000000000003, 452.65000000000003]
[454.25, 454.75]
[454.90000000000003, 455.20000000000005]
[456.55, 456.85]
[457.65000000000003, 457.95000000000005]
[460.85, 461.20000000000005]
[462.95000000000005, 463.55]
[471.95000000000005, 472.3]
[472.75, 473.05]
[473.25, 473.70000000000005]
[474.1, 474.40000000000003]
[477.3, 477.6]
[477.85, 478.35]
[481.25, 481.5]
[483.6, 483.85]
[498.70000000000005, 499.0]
[499.65000000000003, 500.1]
[502.15000000000003, 502.6]
[504.5, 504.85]
[505.05, 505.40000000000003]
[505.6, 506.05]
[506.65000000000003, 506.90000000000003]
[507.20000000000005, 507.45000000000005]
[509.40000000000003, 509.70000000000005]
[510.1, 510.5]
[512.65, 513.0500000000001]
[520.8000000000001, 521.1]
[526.2, 526.45]
[527.25, 527.5500000000001]
[528.1, 528.3000000000001]
[528.45, 528.9]
[529.5, 530.0500000000001]
[530.95, 531.2]
[534.45, 535.2]
[536.35, 536.5500000000001]
[537.0500000000001, 537.3000000000001]
[538.4, 538.8000000000001]
[538.95, 539.4]
[540.0500000000001, 540.4]
[542.2, 542.5]
[543.15, 543.35]
[545.6, 545.85]
[546.8000000000001, 547.0500000000001]
[547.25, 547.6]
[548.85, 549.15]
[549.35, 549.6]
[550.6, 550.95]
[553.35, 553.5500000000001]
[556.2, 556.45]
[558.25, 558.65]
[558.85, 559.2]
[563.65, 563.9]
